agency_name,system_name,authority,categories_of_record,xml_url
DEPARTMENT OF JUSTICE,"[""Freedom of Information Act, Privacy Act, and Mandatory Declassification Review Records.""]","[""The system was established and is maintained pursuant to 5 U.S.C. 301 and 44 U.S.C. 3101 to implement the provisions of 5 U.S.C. 552 and 5 U.S.C. 552a, and the applicable executive order(s) governing classified national security information.""]","[""The system consists of records created or compiled in response to FOIA, Privacy Act, and Mandatory Declassification Review requests and administrative appeals, including: The original requests and administrative appeals; responses to such requests and administrative appeals; all related memoranda, correspondence, notes, and other related or supporting documentation; and, in some instances, copies of requested records and records under administrative appeal. This system also consists of records related to requests for OIP to serve as Ombudsman in disputes between federal agencies and individuals who submit FOIA requests, and all records related to the resolution of such disputes.""]",https://www.federalregister.gov/documents/full_text/xml/2012/03/19/2012-6557.xml
DEPARTMENT OF DEFENSE,"[[""Continuous Evaluation Records for Personnel Security."", {}]]","[""5 U.S.C. 9101, Access to Criminal History Information for National Security and Other Purposes; 10 U.S.C. 137, Under Secretary of Defense for Intelligence; 10 U.S.C. 504, Persons Not Qualified; 10 U.S.C. 505, Regular components: Qualifications, term, grade; E.O. 10450, Security Requirements for Government Employment; E.O. 10865, Safeguarding Classified Information Within Industry; E.O. 12333, United States Intelligence Activities; E.O. 13526, Classified National Security Information; E.O. 12968, as amended, Access to Classified Information; E.O. 13467, Reforming Processes Related to Suitability for Government Employment, Fitness for Contractor Employees, and Eligibility for Access to Classified National Security Information; E.O. 13470, Further Amendments to Executive Order 12333; 32 CFR part 154, Department of Defense Personnel Security Program Regulation; 32 CFR part 155, Defense Industrial Personnel Security Clearance; 32 CFR part 156, Department of Defense Personnel Security Program (DoDPSP); DoD Directive 1145.03E, United States Military Entrance Processing Command (USMEPCOM); DoD Instruction (DoDI) 1304.26, Qualification Standards for Enlistment, Appointment and Induction; DoDI 5200.02, DoD Personnel Security Program (PSP); DoDI 5220.06, Defense Industrial Personnel Clearance Review Program; DODI 5220.22, National Industrial Security Program (NISP); DoD 5200.2-R, Department of Defense Personnel Security Program Regulation; HSPD 12: Policy for a Common Identification Standard for Federal Employees and Contractors; FIPS 201-1: Personal Identity Verification (PIV) of Federal Employees and Contractors; Director of Central Intelligence Directive 8/1: Intelligence Community Policy on Intelligence Information Sharing; and E.O. 9397 (SSN), as amended.""]","[""Applicable records containing the following information about the individual subject to continuous evaluation may be maintained:"", ""a. Evidence of the individual's signed consent to continuous evaluation."", ""b. Responses from official questionnaires (e.g., SF 86 Questionnaire for National Security Positions) that include: Name, former names, and aliases; date and place of birth; social security number; height; weight; hair and eye color; gender; mother's maiden name; current and former home addresses, phone numbers, and email addresses; employment history; military record information; selective service registration record; residential history; education and degrees earned; names of associates and references with their contact information; citizenship; passport information; criminal history; civil court actions; prior security clearance and investigative information; results of prior continuous evaluation checks; mental health history; records related to drug and/or alcohol use; financial record information; information from the Internal Revenue Service pertaining to income tax returns; credit reports; the name, date and place of birth, social security number, and citizenship information for spouse or cohabitant; the name and marriage information for current and former spouse(s); the citizenship, name, date and place of birth, and address for relatives; information on foreign contacts and activities; association records; information on loyalty to the United States; and other agency reports furnished to DoD in connection with background investigation, continuous evaluation, or insider threat detection processes, and other information developed from above."", ""c. Reports of security violations and security-related incidents and data collected and actions taken to resolve them."", ""d. Pre-employment screening reports, such as counter-intelligence screening or military accessions vetting."", ""e. Dates and types of past investigations; dates and types of access granted based on qualifying investigations; indications of whether prior investigations were adjudicated based on exceptions, deviations, or waivers; denials, revocations, debarments, administrative actions, and other adverse actions based on adjudication of investigations."", ""f. Records of personnel background investigations conducted by other Federal agency investigation service providers."", ""g. Agency Use Block (AUB) question responses including type of investigation requested, case number, extra coverage/advance results, sensitivity level, access/eligibility, nature and date of action, geographic location, position code and title, Submitting Office Number (SON), location of official personnel folder, Security Office Identifier (SOI), use of the Intra-governmental Payment and Collection (IPAC) system, Treasury Account Symbol (TAS), obligating document number, Business Event Type Code (BETC), investigative requirement, requesting officials' name, title, email address, phone number, and applicant affiliation."", ""h. Educational data on schools and dates of attendance; conduct information that includes disciplinary actions, transcripts, commendations, degrees, certificates, and subject's explanations regarding education conduct."", ""i. Employment information on current and previous employment that includes: Name of employer, dates employed, address, name, and phone number of supervisor. Conduct information that includes promotions, dates and reasons for disciplinary actions to include termination; performance evaluation; and subject's explanations regarding employment conduct; employment references names, current address, phone number and email address; salary and wage information."", ""j. Selective Service record, military history, and conduct information."", ""k. Foreign contact and activities information that include names of individuals known, dates, country(ies) of citizenship, country(ies) of residence, type and nature or contact, financial interests, assets, benefits from foreign governments, countries and dates of arrival and departure for U.S. border crossings."", ""l. Results of subject and reference interviews conducted during the course of Continuous Evaluation, Counterintelligence Screening, or security incident resolution."", ""m. Information contained in local, state, and Federal criminal justice agency records and local, state, and Federal civil and criminal court records."", ""n. Information that pertains to excessive use of alcohol or use of illegal drugs. (This does not include or authorize CE checks of individuals' health or medical records)."", ""o. Information about and evidence of unauthorized use of information technology systems."", ""p. For purposes of detecting unexplained affluence: U.S. and foreign finance and real estate information that consists of names of financial institutions, number of accounts held, monthly and year-end account balances for bank and investment accounts, address, year of purchase and price, capital investment costs, lease or rental information, year of lease or rental, monthly payments, deeds, lender/loan information and foreclosure history."", ""q. For purposes of detecting unexplained affluence: Information on leased vehicles, boats, airplanes and other U.S. and foreign assets that include type, make model/year, plate or identification number, year leased, monthly rental payment; year of purchase and price, and year-end fair market value."", ""r. For purposes of detecting unexplained affluence: Information pertaining to large currency transactions or other suspicious financial transactions."", ""s. For purposes of detecting unexplained affluence: U.S. and foreign mortgages, loans, and liabilities information that consist of type of loan, names and addresses of creditors, original balance, monthly and year-end balance, monthly payments, payment history, and name and address of institution where safe deposit box is located."", [""t. Publically available electronic information about or generated by the subject of continuous evaluation (e.g., "", {}, ""public records, civil court records, social media content, news articles, and web blog information). This only includes information that is accessible to any member of the public while browsing the Web.""], ""u. Results of automated record checks required to test new or alternative investigative data sources for purposes of improving efficiency or cost-effectiveness of CE."", ""v. Information about affiliation with known criminal and/or terrorist organizations.""]",https://www.federalregister.gov/documents/full_text/xml/2014/07/30/2014-17944.xml
DEPARTMENT OF DEFENSE,"[""Delete entry and replace with “Defense Health Agency Survey and Study Data Base.”""]","[""Delete entry and replace with “10 U.S.C. 136, Under Secretary of Defense for Personnel and Readiness; 10 U.S.C. 1071 Notes, Annual Beneficiary Survey; 10 U.S.C. Chapter 55, Medical and Dental Care; 42 U.S.C. Chapter 117, Encouraging Good Faith Professional Review Activities; DoDI 6025.13, Medical Quality Assurance (MQA) in the Military Health System (MHS); and E.O. 9397 (SSN), as amended.”""]","[""Delete entry and replace with “Records in the system include name, address, sponsor and dependents' Social Security Number (SSN) and/or DoD Identification (DoD ID) number, family member prefix, demographics categories that include age, sex, date of birth, telephone number, email address, and military rank/civilian grade level, rank group (officer, enlisted, or civilian), patient identifier, and beneficiary category."", ""Personal health information and clinical encounter data regarding interactions with health care systems, such as diagnoses, procedures, treatments, services, and benefits; self-reported health and health related response datasets such as surveys and focus groups; health care administrative data, such as inpatient, dental, outpatient, and pharmacy utilization rates; budgetary and managerial cost accounting data, such as claims processing, direct and purchased care workload, and costs; contingency tracking system data such as deployment status; and health plan eligibility and enrollment data.”""]",https://www.federalregister.gov/documents/full_text/xml/2014/07/28/2014-17626.xml
DEPARTMENT OF DEFENSE,"[""Freedom of Information Act (FOIA) and Privacy Act (PA) Case Files.""]","[""10 U.S.C. 113, Secretary of Defense; 5 U.S.C. 552, Public Information; Agency Rules, Opinions, Orders, Records, and Proceedings; 5 U.S.C. 552a, Records Maintained on Individuals; 32 CFR 329, NGB Privacy Program; DoD 5400.7-R, DoD FOIA Program; DoD 5400.11-R, DoD Privacy Program; and DoDD 5105.77, National Guard Bureau.""]","[""Original records created or compiled in response to FOIA or PA requests and administrative appeals. Requests include requesters' name, mailing address, FOIA or PA case number, subject of the request, telephone numbers and email addresses. Responses to such requests and administrative appeals include all related memoranda, correspondence, notes and other related or supporting documentation.""]",https://www.federalregister.gov/documents/full_text/xml/2014/07/17/2014-16766.xml
RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD,"[""Oversight Support.""]",,"[""Information relating to investigations and inquiries identified by or submitted to the Board, including:"", ""(a) Letters, memoranda, and other documents describing complaints, derogatory information, or alleged criminal, civil, or administrative misconduct; and"", [""(b) General intelligence and relevant data, leads for Inspectors General (or other applicable oversight and law enforcement entities), reports of investigations and related exhibits, statements and affidavits, and records obtained during an investigation or inquiry."", {}]]",https://www.federalregister.gov/documents/full_text/xml/2012/03/14/2012-6103.xml
DEPARTMENT OF AGRICULTURE,"[""Farm Records File (Automated).""]","[""7 U.S.C. 450j, 450k, 450l, 1281-1393, 1421-1449, 1471-1472; 15 U.S.C. 714-714p; 16 U.S.C. 590a-590q, 1301-1311, 1606, 2101-2111, 2201-2206, 3501, 3801-3845, 4601, 26 U.S.C. 6109; 40 U.S.C. 14101, 14505, and 43 U.S.C. 1592.""]","[""The information in the system of records consists of electronic and hard copy documentation of participation in FSA programs, including active programs as well as discontinued programs. This includes names and addresses of producers and also includes, but is not limited to:"", ""• Farm allotments, quotas, bases, and history;"", ""• Compliance data; producer entity data;"", ""• Combined producer data; production and marketing data;"", ""• Lease and transfer of allotments and quotas;"", ""• Appeals;"", ""• New grower applications;"", ""• Conservation program documents;"", ""• Program participation and payment documents, including information related to a person's indirect interest in payments through shares or interest in a payee entity;"", ""• Appraisals, leases, and data for farm reconstitution; and"", ""• For payment limitation and conservation compliance purposes: financial statements, and other applicable farm information such as tax statements, wills, trusts, partnership agreements, and corporate charters."", ""The geospatial (GIS) data set contains producer boundaries of CLUs, farms, tracts, field identifiers and attributes used to identify the location of land that can be traced back to a producer's crops and benefits. By definition, a CLU identifies a farm's subdivisions and boundaries and is recommended as the common location identifier for reporting acreage."", ""Digital renditions of farm record boundaries include farm, tract, CLUs (fields), and personal attributes of that property including, but not limited to, cropland designation, wetland location, program participation designation (for example, Conservation Reserve Program or CRP), and presence of structures located on a property (for example, buildings, well heads, or other identifying structures)."", ""Crop Acreage Data are used to promote a viable agriculture economy essential to effectively administering and enforcing the national crop insurance program and for the purpose of fulfilling loss adjustment obligations as well as audits and reviews of claims."", ""Specific automated systems processing the records include, but are not limited to:"", ""• Acreage Reporting and Compliance Systems,"", ""• Ag Credit System,"", ""• Automated Price Support System,"", [""• Average Crop Revenue Elections,"", {}], ""• Asparagus Revenue Market Loss Assistance,"", ""• Cash Systems,"", ""• COC Elections Systems,"", ""• Commodity Management Systems,"", ""• Commodity Operation Systems,"", ""• Common Farm Programs Systems,"", ""• Conservation Systems,"", ""• Consolidated Farm Loan Program Information and Delivery System,"", ""• Consolidated Financial Management Information Systems,"", ""• Consolidated Natural Disaster Relief Programs,"", ""• Consolidated Management System,"", ""• Cooperative Marketing Association System,"", ""• Cotton Management System,"", ""• Customer Name and Address Systems,"", ""• Dairy Disaster Assistance Program,"", ""• Debt Systems,"", ""• Direct Counter-Cyclical Enrollment and Payment Systems,"", ""• Direct Loan Systems,"", ""• Domestic Electronic Bid Entry System,"", ""• Electronic Debt and Loan Restructuring System,"", ""• Electronic Distribution of Disbursement Data,"", ""• Enterprise Data Warehouse,"", ""• Facility Loans Systems,"", ""• Farm Business Plan Web Equity Manager,"", ""• Farm Loan Programs Risk Assessment,"", ""• Farm Programs Management Systems,"", ""• Financial Management Systems,"", ""• General Sales Manager Export Credit Guarantee System,"", ""• Geographic Information Services (GIS),"", ""• GIS Thin Client System,"", ""• Grain Inventory Management System,"", ""• Management of Ag Credit System,"", ""• Market Loss Assistance Program,"", ""• Milk Income Loss Contract,"", ""• Natural Disaster Relief,"", ""• Noninsured Crop Disaster Assistance Program,"", ""• Payment Systems,"", ""• Price Support Systems,"", ""• Processed Commodities Inventory Management System,"", ""• Program Loan Accounting System,"", ""• Representative Link Manager System,"", ""• Service Center Information Management System,"", ""• Subsidiary Systems,"", ""• Tobacco Transition Payment Program,"", ""• Trade Adjustment Assistance, and"", ""• Web-Based Supply Chain Management System.""]",https://www.federalregister.gov/documents/full_text/xml/2012/03/14/2012-6090.xml
PEACE CORPS,"[""PC-18—Peace Corps, Former Peace Corps Volunteers and Staff Database.""]",,,https://www.federalregister.gov/documents/full_text/xml/2014/07/16/2014-16676.xml
DEPARTMENT OF DEFENSE,"[""Labor Hours, Project and Workload Records (March 4, 2011, 76 FR 12076).""]",,"[""Delete from entry “and office telephone number.”"", {}]",https://www.federalregister.gov/documents/full_text/xml/2014/07/15/2014-16516.xml
DEPARTMENT OF DEFENSE,"[""Correction of Military Records System (June 11, 1997, 62 FR 31793).""]",,,https://www.federalregister.gov/documents/full_text/xml/2012/03/07/2012-5443.xml
DEPARTMENT OF DEFENSE,,,,https://www.federalregister.gov/documents/full_text/xml/2015/05/14/2015-11645.xml
DEPARTMENT OF DEFENSE,"[""Equal Opportunity, Diversity and Alternate Dispute Resolution Records (June 15, 2010, 75 FR 33792)""]",,,https://www.federalregister.gov/documents/full_text/xml/2014/07/11/2014-16251.xml
DEPARTMENT OF DEFENSE,"[""Employee Grievance Files (May 31, 2006, 71 FR 30885)""]",,,https://www.federalregister.gov/documents/full_text/xml/2014/07/11/2014-16242.xml
DEPARTMENT OF DEFENSE,"[""Enterprise Mission Assurance Support Service (EMASS) (January 30, 2014, 79 FR 4889)"", {}, ""Change system ID to read “K890.16 DoD”."", {}]",,,https://www.federalregister.gov/documents/full_text/xml/2014/07/11/2014-16178.xml
DEPARTMENT OF DEFENSE,"[""Department of the Navy Mass Transportation Benefit Program.""]","[""5 U.S.C. 301, Departmental Regulations; 5 U.S.C. 7905, Programs to encourage commuting by means other than single-occupancy motor vehicles; DoD Instruction 1000.27, Mass Transportation Benefit Program (MTBP); E.O. 12191, Federal facility ridesharing program; E.O. 13150, Federal Workforce Transportation; and E.O. 9397 (SSN), as amended.""]","[""Name, last four of Social Security Number (SSN), DoD ID Number, point-to-point commuting expenses, commuting distance, type of mass transit used, home address, organizational affiliation of the individual, funding appropriation for benefit, office work number, email address, duty/work address, transit authority card number, and usage from benefit provider.""]",https://www.federalregister.gov/documents/full_text/xml/2012/03/07/2012-5488.xml
DEPARTMENT OF DEFENSE,"[""Delete entry and replace with “Air Force Morale and Welfare Membership Programs.”""]","[""Delete entry and replace with “10 U.S.C. 8013, Secretary of the Air Force; 16 U.S.C. 670a—Cooperative plan for conservation and rehabilitation (Sikes Act); Air Force Instruction 32-7064, Integrated Natural Resources Management; Air Force Instructions 34-116, Air Force Golf Course Program; Air Force Instructions 34-118, Air Force Bowling Program.”""]","[""Delete entry and replace with “Name, address, phone number(s), email address. Individuals participating in outdoor game life activities emergency contact information—name and phone number.”""]",https://www.federalregister.gov/documents/full_text/xml/2014/07/11/2014-16224.xml
THE BUREAU OF CONSUMER FINANCIAL PROTECTION,"[""CFPB Prize Competitions Program Records.""]","[""America COMPETES Reauthorization Act of 2010, Public Law 111-358, Section 105, codified at 15 U.S.C. 3719; Dodd-Frank Wall Street Reform and Consumer Financial Protection Act of 2010, Public Law 111-203, Section 1012, codified at 12 U.S.C. 5492.""]","[""Information maintained on CFPB sponsored prize competition participants will include: contact information (including name, address, email address, and telephone number). Information maintained on CFPB sponsored prize competition awardees will include: (1) Contact information (including name, address, email address, and telephone number); (2) employment information, including title; (3) information necessary for payment, including Social Security number (“SSN”), Tax Identification Number (“TIN”), Employee Identification Number (“EIN”), Data Universal Numbering System (“DUNS”) Number, Commercial and Government Entity (“CAGE”) number, Electronic Funds Transfer (“EFT”) data, and/or financial institution name, routing, and account numbers; and (4) information relevant to determination of eligibility for selection as a prize competition awardee, such as employment information, citizenship status, and declaration of desire and eligibility to participate. Information maintained on individuals who nominate an individual to serve as a judge for a CFPB sponsored prize competition will include name and contact information (including name, address, email address, and telephone number). Information maintained on individuals serving as, or being nominated to serve as a judge for a CFPB sponsored prize competition will include place of birth, date of birth, gender, citizenship status, declaration of desire and eligibility to participate, SSN, financial disclosure information, and other information that can be used to determine if the individual is fit to participate. Information collected about individuals who notarize, witness, or otherwise verify declarations of participation associated with a CFPB sponsored prize competition includes name and notary seal (including name, state of issue, and commission expiration date) only."", ""Records are subject to the Privacy Act only to the extent that they concern individuals; information pertaining to corporations and other business entities and organizations are not subject to the Privacy Act.""]",https://www.federalregister.gov/documents/full_text/xml/2012/10/24/2012-26141.xml
DEPARTMENT OF DEFENSE,"[""U.S. Army Claims Service Management Information System (August 1, 2008, 73 FR 44974)""]",,"[""Delete entry and replace with “Name of claimant, Social Security Number (SSN), address and telephone number, case/claim file number, type of claim presented, reports of investigation, witness statements, police reports, photographs, diagrams, bills, estimates, expert opinions, medical records and similar reports, copy of correspondence with claimant, potential claimants, third parties, and insurers of claimants or third parties, copies of finance vouchers evidencing payment of claims, and similar relevant information.”"", {}]",https://www.federalregister.gov/documents/full_text/xml/2014/07/11/2014-16203.xml
DEPARTMENT OF TRANSPORTATION,"[""Vehicle and Driver Research, Test, and Evaluation Records.""]","[""5 U.S.C. 301; the Federal Records Act, 44 U.S.C. 3101; Intelligent Transportation System Program, Public Law 109-59, 5303-10, 119 Stat. 1144, 1806-13 (2005).""]","[""Records will vary according to the specific project and not all record types will be applicable to any given project. The information may include an individual's:"", ""• Participant Background Information."", ""○ Individual Identifiers."", "" Full Name (First, Middle, Last);"", "" Demographic information, including age and gender;"", "" Individual subject research identifier created by DOT."", "" Driver's license number, issuing state, and qualifiers."", ""○ Vehicle Identifiers."", "" Personal vehicle vehicle identification number (VIN) and registration information."", "" Vehicle Identification Number (VIN) of government issued vehicles."", "" Identifiers for equipment installed by DOT in personal or government issued vehicle;"", ""○ Contact Information."", "" Mailing/Residential Address."", "" Phone number(s)."", "" Email address(es)."", "" Institutional or organizational affiliation."", "" Work/Business related contact information."", "" Occupation and work schedule."", ""○ Eligibility Information."", "" Driver history and habits."", "" Medical history relevant to the scope of the research project;"", "" Outcomes of criminal background check."", ""• Project Information."", ""○ Vehicle Sensor Information."", "" Video or still images, including infrared;"", "" Audio recordings;"", ["" Dynamic information about a vehicle, including location, heading, proximity to and interaction with other vehicles and infrastructure;"", {}], "" Dynamic information about a driver's interaction with the vehicle, including steering wheel, turn signal, and accelerator and brake pedal positions; and"", ""○ Data collected from drivers by means of surveys, focus groups, or interviews.""]",https://www.federalregister.gov/documents/full_text/xml/2012/03/01/2012-4964.xml
DEPARTMENT OF COMMERCE,,,,https://www.federalregister.gov/documents/full_text/xml/2015/09/15/2015-23131.xml
DEPARTMENT OF COMMERCE,,,,https://www.federalregister.gov/documents/full_text/xml/2015/09/15/2015-23127.xml
AGENCY FOR INTERNATIONAL DEVELOPMENT,"[""USAID Personnel Locator System (to include Emergency Notification System, Telework, and Newsletters).""]","[""Privacy Act of 1974 (Pub. L. 93-579), sec. 552a(c), (e), (f), and (p).""]","[""This system contains USAID organizational information. At a solution wide level the system will collect and display First and Last Name, title, USAID Organizational address, building name, room number, bureau, region, mission, country, office telephone numbers, office fax numbers, contact email address, employment mechanism, home address, home phone number, alternate phone number, emergency contact name, emergency contact phone number, emergency contact alternate number, program areas of expertise, foreign language skills, professional affiliations, professional certifications, photograph, region or country-based experience, operational experience and educational experience. The Personnel Locator System is being updated as an Agency-wide system of record to cover all USAID Locator Systems, to include the Emergency Notification System, USAID Web site Modernization to include, requests for newsletters via USAID.gov and information collected on Agency Telework forms. This would also include electronic business card applications.""]",https://www.federalregister.gov/documents/full_text/xml/2012/10/18/2012-25607.xml
DEPARTMENT OF JUSTICE,"[[""Debt Collection Enforcement System"", {}]]","[""This system is established and maintained pursuant to the Debt Collection Act of 1982, Public Law 97-365, 96 Stat. 1749 (1982), as amended by the Debt Collection Improvement Act of 1996, 31 U.S.C. 3701-3720E (original version at Pub. L. 104-134, 110 Stat. 132 (1996)), the Federal Debt Collection Procedures Act of 1990, 28 U.S.C. 3001-3307 (original version at Pub. L. 101-647, 104 Stat. 4933 (1990)), 28 U.S.C. 516, 28 U.S.C. 547, and 44 U.S.C. 3101. More specifically, 28 U.S.C. 516, 519, and 547 authorize the Attorney General to conduct litigation to collect delinquent debts due the United States. In addition, 31 U.S.C. 3718(b) authorizes the Attorney General to contract with private counsel to assist DOJ in collecting debts due the United States. The Attorney General is further authorized by 28 U.S.C. 3101 et seq. and 3201 et seq. to obtain both pre-judgment and post-judgment remedies against delinquent debtors. Moreover, under 28 U.S.C. 3201(a) and (e), a judgment against such a debtor creates a lien on all real property of the debtor, and renders that debtor ineligible for any grant or loan insured, financed, guaranteed, or made by the United States Government.""]","[""This system of records contains records relating to the negotiation, compromise, settlement, and litigation of debts owed the United States, as well as for any amounts that the United States is authorized by law to collect for the benefit of any person or entity. Records consist of debt collection case files, as well as automated and/or hard-copy supporting data, as summarized below."", ""Case files include: evidence of indebtedness, judgment, or discharge; court filings such as legal briefs, pleadings, judgments, orders, and settlement agreements; litigation reports and related attorney work product; and agency status reports, memoranda, correspondence, and other documentation developed during the negotiation, compromise, settlement and/or litigation of debt collection activities."", ""Automated and/or hard-copy supporting data include information extracted from the case file and information generated or developed in support of federal debt collection activities. Such information may include: personal data (e.g., name, social security number, date of birth, taxpayer identification number, locator information, etc.); claim details (e.g., value and type of claim, such as benefit overpayment, loan default, bankruptcy, etc.); demand information, settlement negotiations, and compromise offered; account information (e.g., debtors' payments, including principal, penalties, interest, and balances, etc.); information regarding debtors' employment, assets, ability to pay, property liens, etc.; data regarding debtors' loans or benefits from client agencies or other entities; information on the status and disposition of cases at various times; data related to the Treasury Offset Program (TOP), which includes offsets by the Internal Revenue Service against income tax refunds, offsets of the salaries and benefits of federal employees or members of the Armed Forces, and other administrative offsets; and any other information related to the negotiation, compromise, settlement, or litigation of debts owed the United States and others, or to the administrative management of debt collection efforts."", ""The system also contains records regarding authorized system users, including audit log information and records relating to verification or authorization of an individual's access to the system. This information includes user name, date and time of use, search terms and filters, results that the user accessed, and a user's permissions and authorizations for particular data at that time.""]",https://www.federalregister.gov/documents/full_text/xml/2012/02/21/2012-3913.xml
EXPORT-IMPORT BANK OF THE UNITED STATES,"[""EIB 11-08 Application for Global Credit Express Revolving Line of Credit Federal Register Notice Date of Publication.""]","[[""The Export-Import Bank requests the information in this application under the authority of the Export-Import Bank Act of 1945, as amended (12 U.S.C. 635 "", ""et seq."", "").""]]","[""The information contained on this application contains data required for Export-Import Bank to determine the eligibility of the application and the transaction for assistance under the Working Capital Guarantee and Direct Loan Program. This includes Company Name, address, telephone number, Web site, Tax ID Number, Dun & Bradstreet Number, Contact Person, Contact Person Title, phone number, email address, number of full-time employees, Gross Sales Last Fiscal Year, North American Industrial Classification System (NAICS) codes, declaration of minority ownership, Borrower's name, Title, Social Security Number, Address, Company, Dun & Bradstreet Number, Tax ID Number, Number of years exporting, number of foreign accounts, Payment terms provided to foreign buyers, Total Export credit sales for last 3 years, Export Credit Accounts Receivable Outstanding, Total Export Credit loses for last 3 years, Five Largest Export Sales Markets, Description of principal line of business and products, description of how this loan will benefit your export related business, Calculation maximum loan amount and U.S. content of exports goods or services.""]",https://www.federalregister.gov/documents/full_text/xml/2012/02/10/2012-3120.xml
DEPARTMENT OF THE TREASURY,"[""Collections Records—Treasury/FMS.""]","[""5 U.S.C. 301; 31 U.S.C. 321; 31 U.S.C. chapter 33; 31 U.S.C. 3720""]","[""Collections records containing information about individuals who electronically authorize payments to the Federal government to the extent such records are covered by the Privacy Act of 1974. The records may contain identifying information, such as an individual's name(s), taxpayer identifying number (i.e., Social Security Number or employer identification number), home address, home telephone number, and personal email address (home and work); an individual's employer's name, address, telephone number, and email address; an individual's date of birth and driver's license number; information about an individual's bank account(s) and other types of accounts from which payments are made, such as financial institution routing and account number; credit card numbers; information about an individual's payments made to or from the United States (or to other entities such as private contractors for the Federal government), including the amount, date, status of payments, payment settlement history, and tracking numbers used to locate payment information; user name and password assigned to an individual; other information used to identify and/or authenticate the user of an electronic system to authorize and make payments, such as a unique question and answer chosen by an individual; information concerning the authority of an individual to use an electronic system (access status) and the individual's historical use of the electronic system. The records also may contain information about the governmental agency to which payment is made and information required by such agency as authorized or required by law. The information contained in the records covered by FMS's system of records is necessary to process financial transactions while protecting the government and the public from financial risks that could be associated with electronic transactions. It is noted that the system covers records obtained in connection with various mechanisms that are either used currently or may be used in the future for electronic financial transactions. Not every transaction will require the maintenance of all of the information listed in this section. The categories of records cover the broad spectrum of information that might be connected to various types of transactions.""]",https://www.federalregister.gov/documents/full_text/xml/2012/10/15/2012-25209.xml
DEPARTMENT OF EDUCATION,"[""Institute of Education Sciences Principal Investigator/Application File and Associated Records.""]","[""The Institute's programs for funding research are authorized under the Education Sciences Reform Act of 2002 (ESRA), 20 U.S.C. 9501 et seq.""]","[""The system of records covers a database and paper files containing personally identifying information about these principal investigators, including their names, addresses, telephone numbers, titles, institutional or organizational affiliations, employment histories, professional experiences, academic credentials, current and pending support from other grant programs, research applications submitted to Institute competitions and the peer reviews (summary statements) and peer review scores associated with their applications.""]",https://www.federalregister.gov/documents/full_text/xml/2012/10/12/2012-25174.xml
DEPARTMENT OF VETERANS AFFAIRS,,,,https://www.federalregister.gov/documents/full_text/xml/2015/09/09/2015-22621.xml
DEPARTMENT OF VETERANS AFFAIRS,[],"[""Title 5, United States Code, sections 571-584; Federal Acquisition Regulation; Part 33, Protests, Disputes, and Appeals and/or VA Acquisition Regulation, Part 833, Protests, Disputes, and Appeals; and Title 29, Code of Federal Regulations, Part 1614.""]","[[""The records may contain information related to the name, grade, and step of the ADR requesters and respondents; the type of ADR requested, "", ""e.g.,"", "" mediation or arbitration; the type of ADR used; the source of the individual(s) conducting the ADR, "", ""e.g.,"", "" another Federal agency; the grades and steps of the individuals conducting the ADR process; administrative data on the particular ADR case, "", ""e.g.,"", "" date requested; date concluded and total hours spent on the ADR; the nature of the dispute, "", ""e.g.,"", "" discrimination or harassment; the stage in the dispute in which ADR is inserted; the jurisdictional forum in which the dispute was located when ADR was requested; any waiver of rights under 29 CFR part 1614; the terms of any settlement agreement, "", ""e.g.,"", "" damages, attorneys fees, reassignment; and the satisfaction of the parties with the ADR process and the source of the neutral third party who conducted the procedure, "", ""e.g.,"", "" the facility's program, a local shared neutral's program, the national program, or a private, non governmental program.""]]",https://www.federalregister.gov/documents/full_text/xml/2012/02/02/2012-2266.xml
DEPARTMENT OF AGRICULTURE,,"[[""• Poultry Products Inspection Act (21 U.S.C. 451 "", ""et seq."", "");""], [""• Federal Meat Inspection Act (21 U.S.C. 601 "", ""et seq."", ""); and""], [""• Egg Products Inspection Act (21 U.S.C 1031 "", ""et seq."", "").""]]","[""This system contains information pertaining to investigations of consumer complaints to aid in identifying and tracking potential public health crises. This information includes personal information, such as first and last names, home or work address, telephone number or email, and details concerning medical symptoms and care and cause of complaint. Each record is associated with an assigned case code to ease retrieval.""]",https://www.federalregister.gov/documents/full_text/xml/2015/09/08/2015-22085.xml
THE BROADCASTING BOARD OF GOVERNORS,"[""OWSDS—Office of Workforce Support and Development System""]","[[""The United States Information and Educational Exchange Act of 1948, as amended (22 U.S.C. 1431, "", ""et seq."", ""); the U.S. International Broadcasting Act of 1994, as amended (22 U.S.C. 6201, "", ""et seq."", ""); and the Foreign Affairs Consolidation Act of 1998 (Pub. L. 105-277).""]]","[""Employee and contractor personnel training registration data, applications, biographic data, educational backgrounds, training records, training program outlines, evaluations of training courses.""]",https://www.federalregister.gov/documents/full_text/xml/2015/09/04/2015-22086.xml
DEPARTMENT OF DEFENSE,"[""Europe Command Travel Clearance Records (February 13, 2006, 71 FR 7549).""]",,,https://www.federalregister.gov/documents/full_text/xml/2012/01/31/2012-2017.xml
